Name;MSCI WORLD U$ - PRICE INDEX;;;
6/27/73;123,901;;;
6/28/73;124,741;;;
6/29/73;124,611;;;
7/2/73;123,793;;;
7/3/73;122,833;;;
7/4/73;123,467;;;
7/5/73;123,071;;;
7/6/73;122,916;;;
7/9/73;123,153;;;
7/10/73;123,684;;;
7/11/73;124,889;;;
7/12/73;125,53;;;
7/13/73;124,663;;;
7/16/73;125,768;;;
7/17/73;126,092;;;
7/18/73;126,769;;;
7/19/73;126,757;;;
7/20/73;127,223;;;
7/23/73;127,325;;;
7/24/73;127,838;;;
7/25/73;128,523;;;
7/26/73;128,531;;;
7/27/73;128,054;;;
7/30/73;127,835;;;
7/31/73;127,351;;;
8/1/73;126,313;;;
8/2/73;126,311;;;
8/3/73;125,977;;;
8/6/73;125,903;;;
8/7/73;125,578;;;
8/8/73;125,009;;;
8/9/73;124,79;;;
8/10/73;123,991;;;
8/13/73;122,978;;;
8/14/73;121,971;;;
8/15/73;122,061;;;
8/16/73;121,169;;;
8/17/73;121,315;;;
8/20/73;120,9;;;
8/21/73;120,53;;;
8/22/73;119,813;;;
8/23/73;120,477;;;
8/24/73;120,216;;;
8/27/73;120,611;;;
8/28/73;120,898;;;
8/29/73;121,59;;;
8/30/73;121,834;;;
8/31/73;121,822;;;
9/3/73;121,743;;;
9/4/73;121,778;;;
9/5/73;121,576;;;
9/6/73;121,827;;;
9/7/73;121,866;;;
9/10/73;121,042;;;
9/11/73;120,206;;;
9/12/73;120,221;;;
9/13/73;120,383;;;
9/14/73;121,345;;;
9/17/73;121,278;;;
9/18/73;121,214;;;
9/19/73;122,341;;;
9/20/73;122,764;;;
9/21/73;123,076;;;
9/24/73;123,374;;;
9/25/73;124,032;;;
9/26/73;124,895;;;
9/27/73;125,491;;;
9/28/73;125,11;;;
10/1/73;124,744;;;
10/2/73;125,379;;;
10/3/73;125,564;;;
10/4/73;125,278;;;
10/5/73;126,064;;;
10/8/73;125,837;;;
10/9/73;126,048;;;
10/10/73;125,383;;;
10/11/73;126,496;;;
10/12/73;126,99;;;
10/15/73;125,927;;;
10/16/73;125,872;;;
10/17/73;125,941;;;
10/18/73;126,123;;;
10/19/73;126,663;;;
10/22/73;126,075;;;
10/23/73;126,41;;;
10/24/73;127,317;;;
10/25/73;127,444;;;
10/26/73;128,026;;;
10/29/73;128,021;;;
10/30/73;126,92;;;
10/31/73;126,136;;;
